"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"2","2.705961","2001:1:1:1::2","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::1 from 00:50:79:66:68:00"
"3","20.766176","2001:1:1:1::2","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from 00:50:79:66:68:00"
"4","20.767178","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::3 (sol, ovr) is at 00:50:79:66:68:01"
"5","21.769707","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=1, hop limit=64 (reply in 6)"
"6","21.769707","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=1, hop limit=64 (request in 5)"
"7","21.785126","fe80::c801:25ff:fe50:0","ff02::1:ff00:2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"8","21.831073","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=2, hop limit=64 (reply in 9)"
"9","21.831073","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=2, hop limit=64 (request in 8)"
"10","21.861769","fe80::c801:25ff:fe50:0","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"11","21.861769","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=3, hop limit=64 (reply in 13)"
"12","21.861769","2001:1:1:1::3","fe80::c801:25ff:fe50:0","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::3 (sol, ovr) is at 00:50:79:66:68:01"
"13","21.861769","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=3, hop limit=64 (request in 11)"
"14","21.877539","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","214","Redirect is at 00:50:79:66:68:00"
"15","21.892042","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=4, hop limit=64 (reply in 17)"
"16","21.892042","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","214","Redirect is at 00:50:79:66:68:00"
"17","21.893022","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=4, hop limit=64 (request in 15)"
"18","21.923160","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=5, hop limit=64 (reply in 20)"
"19","21.923160","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","214","Redirect is at 00:50:79:66:68:00"
"20","21.923160","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=5, hop limit=64 (request in 18)"
"21","21.937928","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","214","Redirect is at 00:50:79:66:68:00"
"22","52.875798","2001:1:1:1::3","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::1 from 00:50:79:66:68:01"
"23","52.890886","2001:1:1:1::1","2001:1:1:1::3","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::1 (rtr, sol, ovr) is at ca:01:25:50:00:00"
"24","53.879080","2001:1:1:1::3","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x4f43, seq=1, hop limit=64 (reply in 25)"
"25","53.894377","2001:1:1:1::1","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x4f43, seq=1, hop limit=64 (request in 24)"
"26","53.909500","2001:1:1:1::3","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x4f43, seq=2, hop limit=64 (reply in 27)"
"27","53.924988","2001:1:1:1::1","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x4f43, seq=2, hop limit=64 (request in 26)"
"28","53.941349","2001:1:1:1::3","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x4f43, seq=3, hop limit=64 (reply in 29)"
"29","53.955764","2001:1:1:1::1","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x4f43, seq=3, hop limit=64 (request in 28)"
"30","53.971303","2001:1:1:1::3","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x4f43, seq=4, hop limit=64 (reply in 31)"
"31","53.986300","2001:1:1:1::1","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x4f43, seq=4, hop limit=64 (request in 30)"
"32","54.002488","2001:1:1:1::3","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x4f43, seq=5, hop limit=64 (reply in 33)"
"33","54.016452","2001:1:1:1::1","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x4f43, seq=5, hop limit=64 (request in 32)"
"34","57.916137","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"35","58.886600","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"36","59.919431","fe80::c801:25ff:fe50:0","2001:1:1:1::3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"37","60.012231","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"38","80.690110","2001:1:1:1::3","ff02::1:ff00:2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from 00:50:79:66:68:01"
"39","80.692150","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::2 (sol, ovr) is at 00:50:79:66:68:00"
"40","81.691941","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=1, hop limit=64 (reply in 43)"
"41","81.706926","fe80::c801:25ff:fe50:0","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"42","81.708051","2001:1:1:1::3","fe80::c801:25ff:fe50:0","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::3 (sol, ovr) is at 00:50:79:66:68:01"
"43","81.722130","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=1, hop limit=63 (request in 40)"
"44","81.738412","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=2, hop limit=64 (reply in 45)"
"45","81.752123","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=2, hop limit=63 (request in 44)"
"46","81.766976","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=3, hop limit=64 (reply in 47)"
"47","81.781772","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=3, hop limit=63 (request in 46)"
"48","81.797400","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=4, hop limit=64 (reply in 49)"
"49","81.812751","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=4, hop limit=63 (request in 48)"
"50","81.828079","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=5, hop limit=64 (reply in 51)"
"51","81.843649","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=5, hop limit=63 (request in 50)"
"52","120.008677","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"53","138.167306","fe80::c801:25ff:fe50:0","ff02::1","ICMPv6","118","Router Advertisement from ca:01:25:50:00:00"
